,Title,Citation,Conference,Publisher,Journal,Date
32,An extended approach to predict retinopathy in diabetic patients using the genetic algorithm and fuzzy C-means,3,Unknown,Hindawi,BioMed Research International,2021
33,TPCNN: Two-path convolutional neural network for tumor and liver segmentation in CT images using a novel encoding approach,3,Unknown,Pergamon,Expert Systems with Applications,2021
34,Application of blockchain technology to 5G-enabled vehicular networks: survey and future directions,3,Unknown,IEEE,Unknown,2020
35,Simulating Across the Cloud-to-Edge Continuum,2,Unknown,"Palgrave Macmillan, Cham",Unknown,2020
36,Orchestration from the Cloud to the Edge,2,Unknown,"Palgrave Macmillan, Cham",Unknown,2020
37,Irish attitudes toward COVID tracker app & privacy: sentiment analysis on Twitter and survey data,1,Unknown,Unknown,Unknown,2021
38,"AI in My Life: AI, Ethics & Privacy Workshops for 15-16-Year-Olds",1,Unknown,Unknown,Unknown,2021
39,Simulating and Evaluating a Real-World ElasticSearch System Using the RECAP DES Simulator,1,Unknown,Multidisciplinary Digital Publishing Institute,Future Internet,2021
40,Towards an automatic data value analysis method for relational databases,1,Unknown,Unknown,Unknown,2020
41,Analysing dependability and performance of a real-world Elastic Search application,1,2019 9th Latin-American Symposium on Dependable Computing (LADC),IEEE,Unknown,2019
42,Osteolysis: A Literature Review of Basic Science and Potential Computer-Based Image Processing Detection Methods,Unknown,Unknown,Hindawi,Unknown,2021
43,Public attitudes towards privacy in COVID-19 times in the Republic of Ireland: A pilot study,Unknown,Unknown,Taylor & Francis,Information Security Journal: A Global Perspective,2021
44,Privacy in times of COVID-19: a pilot study in the Republic of Ireland,Unknown,Unknown,Unknown,Unknown,2021
45,Privacy in a Time of COVID-19: How Concerned Are You?,Unknown,Unknown,IEEE,IEEE Security & Privacy,2021
46,PRIVATT-a closer look at people’s data privacy attitudes in times of COVID-19,Unknown,Unknown,IEEE,Unknown,2021
47,Incorporating User Preferences in Multi-objective Feature Selection in Software Product Lines Using Multi-Criteria Decision Analysis,Unknown,International Conference on Optimization and Learning,"Springer, Cham",Unknown,2021
48,AUDD: Audio Urdu Digits Dataset for Automatic Audio Urdu Digit Recognition,Unknown,Unknown,Multidisciplinary Digital Publishing Institute,Applied Sciences,2021
49,首页» 文章» 文章详细信息,Unknown,Unknown,Unknown,Unknown,Unknown
50,Urban enterprise: a review of smart city frameworks from an enterprise architecture perspective,23,2016 IEEE International Smart Cities Conference (ISC2),IEEE,Unknown,2016
51,Cities as enterprises: a comparison of smart city frameworks based on enterprise architecture requirements,22,International conference on smart cities,"Springer, Cham",Unknown,2017
52,A requirements framework for the design of smart city reference architectures,16,Unknown,Unknown,Unknown,2018
53,Parallelisation strategies for large scale cellular automata frameworks in pharmaceutical modelling,13,2012 International Conference on High Performance Computing & Simulation (HPCS),IEEE,Unknown,2012
54,Bitcoin currency fluctuation,12,Unknown,Scitepress,Unknown,2018
55,Scenario-based requirements elicitation for user-centric explainable ai,11,International Cross-Domain Conference for Machine Learning and Knowledge Extraction,"Springer, Cham",Unknown,2020
56,"Day ahead forecasting of FAANG stocks using ARIMA, LSTM networks and wavelets.",10,Unknown,CEUR Workshop Proceedings,Unknown,2018
57,The role of user emotions for content personalization in e-commerce: literature review,8,International Conference on Human-Computer Interaction,"Springer, Cham",Unknown,2019
58,Performance analysis of the quality of service-aware networking scheme for smart internet of things gateways,8,2017 13th International Wireless Communications and Mobile Computing Conference (IWCMC),IEEE,Unknown,2017
59,Urban Enterprise Principles development approach: a case from a European City,8,Unknown,Unknown,"AIS Pre-ICIS Work. IoT Smart City Challenges Appl. Dublin, Irel",2016
60,Customer purchase behavior prediction in e-commerce: A conceptual framework and research agenda,7,Unknown,Springer Nature,"New Frontiers in Mining Complex Patterns: 8th International Workshop, NFMCP 2019, Held in Conjunction with ECML-PKDD 2019, Würzburg, Germany, September 16, 2019, Revised Selected Papers",2020
61,Modelling drug coatings: A parallel cellular automata model of ethylcellulose-coated microspheres,7,Unknown,"IACSIT Press, Singapore",Unknown,2011
62,The Shift from financial to non-financial measures during transition into digital retail–a systematic literature review,6,International conference on business information systems,"Springer, Cham",Unknown,2019
63,Applications of High Performance Algorithms to Large Scale Cellular Automata Frameworks Used in Pharmaceutical Modelling.,6,Unknown,Unknown,J. Cell. Autom.,2016
64,Predicting students’ academic performance and main behavioral features using data mining techniques,5,International Conference on Computing,"Springer, Cham",Unknown,2019
65,Towards preprocessing guidelines for neural network embedding of customer behavior in digital retail,5,Unknown,Unknown,Unknown,2019
66,Types of IT architectures in smart cities–a review from a business model and enterprise architecture perspective,5,Unknown,Unknown,Unknown,2016
67,Comparative analysis of asynchronous cellular automata in stochastic pharmaceutical modelling,5,Unknown,Elsevier,Journal of Computational Science,2014
68,Understanding urban mobility and pedestrian movement,4,Unknown,IntechOpen,Unknown,2019
69,An overview of user-level usage monitoring in cloud environment,4,Unknown,UKAIS,Unknown,2018
70,A usage-based data extraction framework for cloud-based application-an human-computer interaction approach,4,Unknown,Scitepress,Unknown,2017
71,"Customer Purchase Behavior Prediction in E-commerce: Current Tasks, Applications and Methodologies",3,Unknown,Unknown,International Workshop New Frontiers in Mining Complex Patterns,2019
72,Modelling impact of morphological urban structure and cognitive behaviour on pedestrian flows,3,International Conference on Computational Science and Its Applications,"Springer, Cham",Unknown,2014
73,AI cloud-based smart manufacturing and 3D printing techniques for future in-house production,2,2019 International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM),IEEE,Unknown,2019
74,Generic Refactoring Methodology for Cloud Migration-Position Paper,2,International Conference on Cloud Computing and Services Science,SCITEPRESS,Unknown,2017
75,Probabilistic pharmaceutical modelling: a comparison between synchronous and asynchronous cellular automata,2,International Conference on Parallel Processing and Applied Mathematics,"Springer, Berlin, Heidelberg",Unknown,2013
76,Stochastic computational modelling of complex drug delivery systems,2,Unknown,Unknown,Unknown,2013
77,High-performance computing for data analytics,2,2012 IEEE/ACM 16th International Symposium on Distributed Simulation and Real Time Applications,IEEE,Unknown,2012
78,Probabilistic models for dissolution of ethylcellulose coated microsphere,2,Unknown,ESM-Eurosis,Unknown,2010
79,Generating and Analyzing Chatbot Responses using Natural Language Processing,2,Unknown,Unknown,Unknown,Unknown
80,Learning behaviours data in programming education: Community analysis and outcome prediction with cleaned data,1,Unknown,North-Holland,Future Generation Computer Systems,2022
81,Student behaviours in using learning resources in higher education: How do behaviours reflect success in programming education?,1,Unknown,Editorial Universitat Politècnica de València,Unknown,2021
82,Towards Refactoring in Cloud-Centric Internet of Things for Smart Cities,1,Unknown,Unknown,Unknown,2016
83,Towards Design Principles for User-Centric Explainable AI in Fraud Detection,Unknown,International Conference on Human-Computer Interaction,"Springer, Cham",Unknown,2021
84,Education as a complex system: using physic methods for the analysis of students' learning behaviours in the context of programming education.,Unknown,Unknown,Unknown,Unknown,2021
85,Explainable Sentiment Analysis Application for Social Media Crisis Management in Retail,Unknown,Unknown,Unknown,Unknown,2020
86,Retail Strategy in the Age of Retail Apocalypse–Exploring the Role of Customer Experience Orientation on Retail Performance,Unknown,Unknown,Unknown,Unknown,2020
87,Who Wants to Use an Augmented Reality Shopping Assistant Application?,Unknown,Unknown,Unknown,Unknown,2020
88,Scenario-Based Requirements Elicitation for User-Centric Explainable AI,Unknown,Unknown,Springer Nature,"Machine Learning and Knowledge Extraction: 4th IFIP TC 5, TC 12, WG 8.4, WG 8.9, WG 12.9 International Cross-Domain Conference, CD-MAKE 2020, Dublin, Ireland, August 25-28, 2020, Proceedings",2020
89,Release modelling of nanoencapsulated food ingredients by probabilistic models: Cellular Automata and Monte Carlo Methods,Unknown,Unknown,Academic Press,Unknown,2020
90,Received Total Wideband Power Data Analysis: Multiscale wavelet analysis of RTWP data in a 3G network,Unknown,Unknown,Unknown,Unknown,2019
91,A usage analytics model for analysing user behaviour in IBM academic cloud,Unknown,Unknown,Unknown,Unknown,2018
92,Usage Analytics: A Process to Extract and Analyse Usage Data to Understand User Behaviour in Cloud,Unknown,International Conference on Computer-Human Interaction Research and Applications,"Springer, Cham",Unknown,2017
93,Proposing Design Principles for User-Centric Explainable AI in Fraud Detection⋆,Unknown,Unknown,Unknown,Unknown,Unknown
94,This file was downloaded from: http://eprints. qut. edu. au/82681,Unknown,Unknown,Unknown,Unknown,Unknown
95,Probabilistic Pharmaceutical Modelling: A Comparison Between Synchronous and Asynchronous Cellular...,Unknown,Unknown,Unknown,Unknown,Unknown
96,Seshat: The global history databank,159,Unknown,Unknown,Cliodynamics: The Journal of Quantitative History and Cultural Evolution,2015
97,Cross-lingual ontology mapping–an investigation of the impact of machine translation,79,Unknown,Springer Berlin/Heidelberg,The Semantic Web,2009
98,SCTP congestion control: Initial simulation studies,48,Unknown,Elsevier,Unknown,2001
99,Cross-lingual ontology mapping and its use on the multilingual semantic web,45,Unknown,Unknown,"Proceedings of the 1st Workshop on the Multilingual Semantic Web, CEUR",2010
100,A configurable translation-based cross-lingual ontology mapping system to adjust mapping outcome,41,Unknown,Elsevier,"Web Semantics: Science, Services and Agents on the World Wide Web",2012
101,FIPA-compliant agents for real-time control of intelligent network traffic,41,Unknown,Elsevier,Computer Networks,1999
102,Improving curated web-data quality with structured harvesting and assessment,37,Unknown,IGI Global,International Journal on Semantic Web and Information Systems (IJSWIS),2014
103,Evolutionary trends in intelligent networks,37,Unknown,IEEE,IEEE Communications Magazine,2000
104,"Challenges for federated, autonomic network management in the future internet",35,2009 IFIP/IEEE International Symposium on Integrated Network Management-Workshops,IEEE,Unknown,2009
105,Experimental studies of SCTP multi-homing,34,Unknown,Unknown,"First Joint IEI/IEE Symposium on Telecommunications Systems Research, Dublin, Ireland",2001
106,The Celtic Gandalf framework,30,MELECON 2006-2006 IEEE Mediterranean Electrotechnical Conference,IEEE,Unknown,2006
107,"A macroscope for global history: Seshat Global History Databank, a methodological overview",26,Unknown,The Alliance of Digital Humanities Organizations,Unknown,2016
108,Creating a vocabulary for data privacy,24,"OTM Confederated International Conferences"" On the Move to Meaningful Internet Systems""","Springer, Cham",Unknown,2019
109,User evaluation study of a tagging approach to semantic mapping,21,European Semantic Web Conference,"Springer, Berlin, Heidelberg",Unknown,2009
110,Enabling decentralised management through federation,19,Unknown,Elsevier,Computer Networks,2010
111,Policy-based integration of multiprovider digital home services,18,Unknown,IEEE,IEEE network,2009
112,Making ontologies talk: knowledge interoperability in the semantic web,17,Unknown,IEEE,IEEE Intelligent Systems,2008
113,An evaluation of uplift mapping languages,16,Unknown,Emerald Publishing Limited,International Journal of Web Information Systems,2017
114,Ontology Mapping Representations: A Pragmatic Evaluation.,15,SEKE,Unknown,Unknown,2009
115,Open framework middleware for intelligent WSN topology adaption in smart buildings,14,2009 International Conference on Ultra Modern Telecommunications & Workshops,IEEE,Unknown,2009
116,An automatically composable OWL reasoner for resource constrained devices,14,"Semantic Computing, 2009. ICSC'09. IEEE International Conference on",IEEE,Unknown,2009
117,Bayes-recce: A bayesian model for detecting restriction class correspondences in linked open data knowledge bases,13,Unknown,IGI Global,International Journal on Semantic Web and Information Systems (IJSWIS),2016
118,A trust model for capability delegation in federated policy systems,13,"Risk and Security of Internet and Systems (CRiSIS), 2011 6th International Conference on",IEEE,Unknown,2011
119,Multilingual ontology mapping: Challenges and a proposed framework,13,Unknown,Unknown,"Workshop on Matching and Meaning-Automated Development, Evolution and Interpretation of Ontologies",2009
120,"Management of data value chains, a value monitoring capability maturity model",12,Unknown,SciTePress,Unknown,2018
121,DELTA-LD: A change detection approach for linked datasets,12,Unknown,Unknown,4th Workshop on Managing the Evolution and Preservation of the Data Web (MEPDaW),2018
122,FunUL: a method to incorporate functions into uplift mapping languages,12,Unknown,Unknown,Unknown,2016
123,Towards a framework to support novice users in understanding and monitoring of Home Area Networks,12,2012 IEEE International Conference on Pervasive Computing and Communications Workshops,IEEE,Unknown,2012
124,Using pseudo feedback to improve cross-lingual ontology mapping,12,Extended Semantic Web Conference,"Springer, Berlin, Heidelberg",Unknown,2011
125,Evaluation of ontology mapping representation,12,Unknown,Unknown,Proceedings of the Workshop on Matching and Meaning,2009
126,Supporting composite smart home services with semantic fault management,11,2010 5th International Conference on Future Information Technology,IEEE,Unknown,2010
127,Design of the CORBA/TC Inter-working Gateway,11,International Conference on Intelligence in Services and Networks,"Springer, Berlin, Heidelberg",Unknown,1999
128,Design challenges for GDPR RegTech,10,Unknown,Unknown,arXiv preprint arXiv:2005.12138,2020
129,A semantic data value vocabulary supporting data value assessment and measurement integration,10,Unknown,SciTePress,Unknown,2018
130,"Integration of qos metrics, rules and semantic uplift for advanced iptv monitoring",10,Unknown,Springer US,Journal of Network and Systems Management,2015
131,Ontology Consistency and Instance Checking for Real World Linked Data.,10,Unknown,Unknown,LDQ@ ESWC,2015
132,Multidomain IT architectures for next-generation communications service providers [Next-Generation Telco IT Architectures],10,Unknown,IEEE,IEEE Communications Magazine,2010
133,Implementing the draft W3C semantic sensor network ontology,10,2010 8th IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOM Workshops),IEEE,Unknown,2010
134,Challenges in value-driven data governance,9,"OTM Confederated International Conferences"" On the Move to Meaningful Internet Systems""","Springer, Cham",Unknown,2018
135,Dacura: A new solution to data harvesting and knowledge extraction for the historical sciences,9,Unknown,Routledge,Historical Methods: A Journal of Quantitative and Interdisciplinary History,2018
136,Linked data schemata: fixing unsound foundations,9,Unknown,IOS Press,Semantic Web,2018
137,Publishing social sciences datasets as linked data: a political violence case study,9,Unknown,Unknown,ENRICH 2013 Conference Proceedings,2013
138,Using the OM2R meta-data model for ontology mapping reuse for the ontology alignment challenge-a case study.,9,OM,Unknown,Unknown,2012
139,"P.: deepTrust Management Application for Discovery, Selection, and Composition of Trustworthy Services",9,In Proceedings of Ninth IFIP/IEEE International Symposium on Integrated Network Management (IM 2005,Unknown,Unknown,2005
140,Validating interlinks between linked data datasets with the SUMMR methodology,8,"OTM Confederated International Conferences"" On the Move to Meaningful Internet Systems""","Springer, Cham",Unknown,2016
141,Enabling combined Software and Data engineering at Web-scale: The ALIGNED suite of Ontologies,8,International Semantic Web Conference,"Springer, Cham",Unknown,2016
142,Building the seshat ontology for a global history databank,8,European Semantic Web Conference,"Springer, Cham",Unknown,2016
143,MooM--a prototype framework for management of ontology mappings,8,2011 IEEE International Conference on Advanced Information Networking and Applications,IEEE,Unknown,2011
144,Consumer-managed federated homes,7,Unknown,IEEE,IEEE Communications Magazine,2014
145,Exploring data value assessment: a survey method and investigation of the perceived relative importance of data value dimensions,6,ICEIS 2019-21st International Conference on Enterprise Information Systems,SciTePress,Unknown,2019
146,The SimCon generator: an interactive context simulator for rapid evaluation of smart building applications using virtual reality,6,2011 IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOM Workshops),IEEE,Unknown,2011
147,Understanding information professionals: a survey on the quality of linked data sources for digital libraries,5,"OTM Confederated International Conferences"" On the Move to Meaningful Internet Systems""","Springer, Cham",Unknown,2018
148,Managed semantic interoperability for federations,5,Unknown,Springer US,Journal of network and systems management,2014
149,Federation lifecycle management incorporating coordination of bio-inspired self-management processes,5,Unknown,Springer US,Journal of network and systems management,2013
150,Federating autonomic network management systems for flexible control of end-to-end communications services,5,Unknown,Elsevier,Unknown,2011
151,Pervasive knowledge-based networking for maintenance inspection in smart buildings.,5,Unknown,Unknown,Unknown,2009
152,Is the LOD cloud at risk of becoming a museum for datasets? Looking ahead towards a fully collaborative and sustainable LOD cloud,4,Unknown,Unknown,Unknown,2019
153,Assessing the quality of geospatial linked data–experiences from Ordnance Survey Ireland (OSi),4,Unknown,Unknown,Unknown,2018
154,Challenges for Value-driven Semantic Data Quality Management.,4,ICEIS (1),Unknown,Unknown,2017
155,"Describing Reasoning Results with RVO, the Reasoning Violations Ontology.",4,MEPDaW/LDQ@ ESWC,Unknown,Unknown,2016
156,Global Intelligent Content: Active Curation of Language Resources using Linked Data.,4,LREC,Unknown,Unknown,2014
157,Mapping Representation based on Meta-data and SPIN for Localization Workflows.,4,WaSABi-FEOSW@ ESWC,Unknown,Unknown,2014
158,Explicit federal relationship management to support semantic integration,4,12th IFIP/IEEE International Symposium on Integrated Network Management (IM 2011) and Workshops,IEEE,Unknown,2011
159,Modelling Autonomic Communication Environments,4,Unknown,Unknown,Lecture Notes in Computer Science,2010
160,Autonomic replication of management data evaluation of a market-based approach,4,2006 IEEE/IFIP Network Operations and Management Symposium NOMS 2006,IEEE,Unknown,2006
161,Publishing authoritative geospatial data to support interlinking of building information models,3,Unknown,Elsevier,Automation in Construction,2021
162,LinkedDataOps: linked data operations based on quality process cycle,3,Unknown,CEUR-WS,Unknown,2020
163,Automatic Extraction of Data Governance Knowledge from Slack Chat Channels,3,"OTM Confederated International Conferences"" On the Move to Meaningful Internet Systems""","Springer, Cham",Unknown,2018
164,Milan: automatic generation of R2RML mappings,3,Unknown,CEUR-WS,Unknown,2018
165,"The ALIGNED Project-Aligned, Quality-centric Software and Data Engineering Driven by Semantics",3,Unknown,Unknown,Project Networking Session at ESWC,2016
166,SPARQL based mapping management,3,Proceedings of the 2015 IEEE 9th International Conference on Semantic Computing (IEEE ICSC 2015),IEEE,Unknown,2015
167,Secure federated monitoring of heterogeneous networks,3,Unknown,IEEE,IEEE Communications Magazine,2013
168,A comparison of complex correspondence detection techniques.,3,Unknown,Unknown,OM,2012
169,Modelling data access for a distributed network management system,3,"13th IEEE International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",IEEE,Unknown,2005
170,An intelligent linked data quality dashboard,2,Unknown,CEUR-WS,Unknown,2019
171,"Semantic data ingestion for intelligent, value-driven big data analytics",2,2018 4th International Conference on Big Data Innovations and Applications (Innovate-Data),IEEE,Unknown,2018
172,Building High Usability Consumer-oriented Linked Data Mobile Apps.,2,AICS,Unknown,Unknown,2017
173,Correspondence pattern attribute selection for consumption of federated data sources,2,"Network Operations and Management Symposium (NOMS), 2012 IEEE",IEEE,Unknown,2012
174,An architecture for affective management of systems of adaptive systems,2,IEEE International Workshop on Modelling Autonomic Communications Environments,"Springer, Berlin, Heidelberg",Unknown,2010
175,Implementation Experience with the OMG IN/CORBA Interworking Specification,2,Unknown,Unknown,"Proc. 6th International Conference on Intelligence in Networks (ICIN 2000), Bordeaux",2000
176,Signalling System No. 7 as an agent platform message transport protocol,2,International Conference on Intelligence in Services and Networks,"Springer, Berlin, Heidelberg",Unknown,1999
177,Irish attitudes toward COVID tracker app & privacy: sentiment analysis on Twitter and survey data,1,Unknown,Unknown,Unknown,2021
178,"AI in My Life: AI, Ethics & Privacy Workshops for 15-16-Year-Olds",1,Unknown,Unknown,Unknown,2021
179,GDPR Compliance tools: best practice from RegTech,1,Unknown,Springer International Publishing,Unknown,2021
180,ARK-Virus: An ARK Platform Extension for Mindful Risk Governance of Personal Protective Equipment Use in Healthcare,1,Unknown,Unknown,Unknown,2021
181,A common semantic model of the GDPR register of processing activities,1,Unknown,Unknown,arXiv preprint arXiv:2102.00980,2021
182,Towards an automatic data value analysis method for relational databases,1,Unknown,Unknown,Unknown,2020
183,Quality metrics to measure the standards conformance of geospatial linked data,1,Unknown,Unknown,Unknown,2020
184,DaVe: A Semantic Data Value Vocabulary to Enable Data Value Characterisation,1,International Conference on Enterprise Information Systems,"Springer, Cham",Unknown,2018
185,License and Template Access Control for Geospatial Linked Data.,1,GeoLD-QuWeDa@ ESWC,Unknown,Unknown,2018
186,Interlinking Ireland’s authoritative geospatial information on buildings with central statistics office data,1,Unknown,Unknown,Unknown,2017
187,Extension of the M-Gov ontology mapping framework for increased traceability.,1,OM@ ISWC,Unknown,Unknown,2017
188,D7. 12-Data Management Plan,1,Unknown,Unknown,ALIGNED project deliverable,2015
189,Using Semantic Mappings to Manage Heterogeneity in XLIFF Interoperability,1,Unknown,Unknown,Localisation Focus,2015
190,Manageable Dataset Curation for Linked Data,1,Unknown,Unknown,18th International Conference on Knowledge Engineering and Knowledge Management,2012
191,Towards grid-based NMS data management in 3G networks and beyond,1,Unknown,Unknown,Eurescom Summit,2005
192,On the Application of Paired Comparison to Trust,1,Unknown,Unknown,"2nd International Workshop on Managing Ubiquitous Communications and Services, Dublin, Ireland",2004
193,Intelligent networks: a discussion of current developments,1,Unknown,IGI Global,Unknown,2001
194,FAIR Ontologies for Transparent and Accountable AI: A Hospital Adverse Incidents Vocabulary Case Study,Unknown,2021 Third International Conference on Transdisciplinary AI (TransAI),IEEE,Unknown,2021
195,Public attitudes towards privacy in COVID-19 times in the Republic of Ireland: A pilot study,Unknown,Unknown,Taylor & Francis,Information Security Journal: A Global Perspective,2021
196,Privacy in times of COVID-19: a pilot study in the Republic of Ireland,Unknown,Unknown,Unknown,Unknown,2021
197,Privacy in a Time of COVID-19: How Concerned Are You?,Unknown,Unknown,IEEE,IEEE Security & Privacy,2021
198,TIKD: A Trusted Integrated Knowledge Dataspace For Sensitive Healthcare Data Sharing,Unknown,"2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC)",IEEE,Unknown,2021
199,PRIVATT-a closer look at people’s data privacy attitudes in times of COVID-19,Unknown,Unknown,IEEE,Unknown,2021
200,The data quality index: improving data quality in Irish healthcare records,Unknown,Unknown,Unknown,Unknown,2021
201,Spatial Linked Data in Europe: Report from Spatial Linked Data Session at Knowledge Graph in Action,Unknown,Unknown,Unknown,Unknown,2021
202,Building a Data Processing Activities Catalog: Representing Heterogeneous Compliance-Related Information for GDPR Using DCAT-AP and DPV,Unknown,Unknown,IOS Press,Unknown,2021
203,Irish attitudes to privacy in COVID-19 times: sentiment analysis on Twitter and survey data,Unknown,Unknown,Unknown,Unknown,2021
204,A SKOS taxonomy of the UN global geospatial information management data theme,Unknown,Unknown,Unknown,Unknown,2021
205,Demonstrating GDPR accountability with CSM-ROPA: extensions to the data privacy vocabulary,Unknown,Unknown,Unknown,Unknown,2021
206,Standards Conformance Metrics for Geospatial Linked Data,Unknown,Iberoamerican Knowledge Graphs and Semantic Web Conference,"Springer, Cham",Unknown,2020
207,The ARK platform: enabling risk management through semantic web technologies,Unknown,Unknown,CEUR-WS,Unknown,2020
208,Towards a Semantic Model of the GDPR Register of Processing Activities,Unknown,Unknown,Unknown,arXiv preprint arXiv:2008.00877,2020
209,Geoff: a linked data vocabulary for describing the form and function of spatial objects,Unknown,Unknown,Unknown,Unknown,2020
210,A risk governance framework for healthcare decision support systems based on socio-technical analysis,Unknown,Unknown,Unknown,Unknown,2020
211,Saffron: a data value assessment tool for quantifying the value of data assets,Unknown,Unknown,Unknown,Unknown,2019
212,Towards a knowledge driven framework for bridging the gap between software and data engineering,Unknown,Unknown,Elsevier,Unknown,2019
213,A framework for generating aviation risk information mobile user interfaces from knowledge graphs,Unknown,Unknown,CEUR. WS,Unknown,2019
214,Detecting Restriction Class Correspondences in Linked Data: The Bayes-ReCCE Bayesian Model Approach,Unknown,Unknown,IGI Global,Unknown,2018
215,Automated Monitoring of Data Quality in Linked Data Systems,Unknown,2nd International Workshop on Computational History and Data-Driven Humanities (CHDDH),Unknown,Unknown,2016
216,Enabling Combined Software and Data Engineering: the ALIGNED Suite of Ontologies.,Unknown,International Semantic Web Conference (Posters & Demos),Unknown,Unknown,2016
217,Acknowledgment to Reviewers,Unknown,Unknown,Unknown,Unknown,2015
218,D7. 11-Data Management Plan–Phase 2,Unknown,Unknown,Unknown,Unknown,2015
219,"Proceedings of the 1st International Workshop on Computational History 2014, Dublin, Ireland, June 27th, 2014",Unknown,Unknown,Unknown,Unknown,2014
220,Generalizing ITS as an Interoperable Annotation Technique for Global Intelligent Content,Unknown,Unknown,Localisation Focus-The International Journal of Localisation;,Unknown,2013
221,ACKNOWLEDGMENT TO REVIEWERS,Unknown,Unknown,Unknown,Cell Tissue Res,2013
