keyword_1,keyword_2,count
Emotion,Music Information Retrieval,2
sound,testbed,1
sound,internet-of-things,1
MOOCs,sentiment analysis,1
MOOCs,MT evaluation,1
MOOCs,cognition,1
MOOCs,crowds,1
MOOCs,MT,1
MOOCs,CrowdFlower,1
MOOCs,MOOC,3
MOOCs,crowdsourcing,1
MOOCs,Neural MT,1
MOOCs,Human MT evaluation,1
MOOCs,sentiment,1
MOOCs,analysis,1
MOOCs,evaluation,1
MOOCs,entity recognition,1
MOOCs,machine translation,1
MOOCs,e-learning,1
MOOCs,translation,2
MOOCs,learning,1
MOOCs,Statistical MT,1
MOOCs,statistical machine translation,1
MOOCs,recognition,1
MOOCs,", statistical machine translation",1
Random Forest (RF),Support Vector Machines (SVM),1
Random Forest (RF),Gradient Boosting (GB),1
Random Forest (RF),Logistic Regression (LR),1
Random Forest (RF),SVM,1
Random Forest (RF),RF,1
Random Forest (RF),Chronic Kidney Disease (CKD),1
Video Captions,Semantic Concept,1
Video Captions,Semantic,1
Video Captions,Video,1
financial blogs,sentiment analysis,2
financial blogs,interactive visualisation,1
financial blogs,sentiment,2
financial blogs,analysis,2
financial blogs,mining,1
financial blogs,opinion mining,1
financial blogs,visualisation,1
Knowledge Transfer,Deep Learning,1
Knowledge Transfer,Representation Learning,1
Knowledge Transfer,Knowledge Distillation,1
Environmental sensing,Chemical separations,1
Environmental sensing,Optical sensing,1
Environmental sensing,Visual sensing,1
EEG,Electroencephalography,1
EEG,Brain computer processing,1
EEG,Eye tracking,1
EEG,electroencephalography (EEG),1
EEG,spatial filtering,1
EEG,BCI,2
EEG,interface,3
EEG,Suicide,1
EEG,domestic energy,1
EEG,Semantic,1
EEG,brain-computer enterface,1
EEG,Rapid serial visual presentation,1
EEG,image search,1
EEG,cross-correlation,1
EEG,Brain-computer interface,2
EEG,P300,1
EEG,electroencephalograph,2
EEG,cortically coupled computer vision,1
EEG,event-related potentials (ERPs),1
EEG,wavelet multiscaling,1
EEG,ERP,1
EEG,search,1
EEG,RSVP,1
EEG,Rapid serial visual presentation (RSVP),1
EEG,eigenspectrum,1
EEG,correlation,1
EEG,Brain computer interface,1
EEG,HCI,1
EEG,epilepsy,1
Test-driven Software Development.,Software,1
Test-driven Software Development.,Blockchain,1
Test-driven Software Development.,Software Production,1
Test-driven Software Development.,Software Development Integrity,1
testbed,internet-of-things,1
Performance,Measurement,2
Performance,NTCIR-12,1
Performance,Logic gates,1
Performance,internetworking,1
Performance,Patent Retrieval,1
Performance,Internet,1
Performance,Algorithms,1
Performance,GPS,1
Performance,Key Performance Indicator,1
Performance,KPI,1
Performance,QoS,1
Performance,analysis,1
Performance,quality of service,1
Performance,evaluation,1
Performance,Packet loss,1
Performance,spoken queries,1
Performance,Quality of service,1
Performance,spoken term detection,1
Performance,Decompounding,1
Performance,Temporal,1
Performance,Internet of Things,1
Performance,content analysis,1
Performance,spoken content retrieval,1
Performance,Experimentation,2
Performance,statistics,1
Performance,Performance Analysis,1
Performance,Customer Experience,1
Performance,Performance evaluation,1
Performance,"Technical, Tactical",1
Performance,Internet of Things (IoT),1
Performance,Throughput,1
Performance,spoken document retrieval,1
Performance,IoT,1
Performance,Omni Channel Retail,1
machine learning,cognition,1
machine learning,dataset,1
machine learning,Video,1
machine learning,technology,1
machine learning,quality of service,1
machine learning,learning analytics,2
machine learning,technology enhanced learning,1
machine learning,Video quality,1
machine learning,interactive retrieval,1
machine learning,student intervention,1
machine learning,pattern recognition,1
machine learning,learning,5
machine learning,deep learning,1
machine learning,data,2
machine learning,mining,1
machine learning,resource allocation,1
machine learning,datasets,1
machine learning,natural language processing,1
machine learning,Educational data mining,1
machine learning,recognition,1
machine learning,location,1
machine learning,handshape recognition,1
machine learning,sign language,1
representation learning,Deep representation learning,1
representation learning,unsupervised learning,1
representation learning,Contrastive Learning,1
representation learning,Contrastive learning,1
representation learning,Graph analysis,1
representation learning,Self-supervised Learning,1
representation learning,analysis,1
representation learning,Explainable AI,1
representation learning,Representation Learning,1
representation learning,learning,2
representation learning,deep learning,1
representation learning,self-supervised learning,1
environmental hazards,elderly,1
environmental hazards,performance,1
environmental hazards,gait performance,1
interactive video retrieval,evaluation campaigns,1
interactive video retrieval,evaluation,1
interactive video retrieval,video,1
interactive video retrieval,learning,1
interactive video retrieval,deep learning,1
interactive video retrieval,video retrieval,1
Blind Relevance Feedback,query expansion,1
Blind Relevance Feedback,BRF,1
Blind Relevance Feedback,RF,1
Consumer behavior,Purchase prediction,1
Consumer behavior,Machine learning,1
Consumer behavior,E-commerce,1
Consumer behavior,learning,1
Consumer behavior,mining,1
Consumer behavior,Data mining,1
Consumer behavior,Digital retail,1
Consumer behavior,Behavior analytics,1
Chroma intra prediction,attention algorithms,1
Chroma intra prediction,neural network,1
Chroma intra prediction,video coding standards,1
Chroma intra prediction,complexity reduction,1
Chroma intra prediction,Algorithms,1
Chroma intra prediction,Convolution,1
Chroma intra prediction,convolutional neural networks,1
Chroma intra prediction,Attention Algorithms,1
Chroma intra prediction,video,1
Chroma intra prediction,neural networks,1
Chroma intra prediction,multi-model architectures,1
Chroma intra prediction,Convolutional Neural Network,1
open-corpus content,content management,1
open-corpus content,digital content management,1
open-corpus content,analysis,1
open-corpus content,multilingual technologies,1
open-corpus content,adaptive hypermedia,1
open-corpus content,content analysis,1
open-corpus content,management,1
Social Constructivism,Analytics,1
Social Constructivism,Data Analytics,1
software development,Story-driven software development,1
software development,software quality improvement,1
software development,Structure equation modeling,1
software development,game elements,1
software development,software process,1
software development,software maintenance,1
software development,Software process,1
software development,literature review,1
software development,Medical device software,1
software development,SAFe,1
software development,Safety critical software,1
software development,Medical,1
software development,computer games,1
software development,Software,3
software development,Socio-technical aspects of software development,1
software development,Game-based agile software development,1
software development,context,2
software development,test drive development,1
software development,software development management,1
software development,Productivity,1
software development,Monte Carlo,1
software development,game theory,1
software development,Safety critical software process,1
software development,software development lifecycle,1
software development,SEM,1
software development,software engineering economics,1
software development,Storycrafting,1
software development,"continuous
development",1
software development,Agile,1
software development,Gamification,1
software development,Situational context,1
software development,agile,2
software development,economic mechanism design,1
software development,systematic review,1
software development,modelling,1
software development,Lean software development,1
software development,Scrumban,1
software development,Medical device,1
software development,software development process,2
software development,program debugging,1
software development,structured equation modelling,1
software development,mapping,1
software development,gamification,1
software development,Medical device software development,1
software development,Software development process,1
software development,Software process improvement,1
software development,Process model,1
software development,project management,1
software development,safety critical software development,1
software development,Monte Carlo methods,1
software development,management,1
software development,safety context,1
software development,Lean,1
software development,systematic mapping,1
software development,Productivity factors of software development,1
software development,Software development,2
software development,Agile software development,1
software development,public domain software,1
software development,methods,1
software development,Software development lifecycle,1
software development,Situational factors reference model,1
speech search,crowds,2
speech search,crowdsourcing,2
speech search,search,2
speech search,multimedia,1
speech search,multimedia hyperlinking,1
Authoring Tool,Speech,1
Authoring Tool,Translation,3
Authoring Tool,Post-Editing,1
Authoring Tool,Controlled Languages,1
Authoring Tool,Statistical Machine Translation,2
Authoring Tool,Authoring Tools,1
Authoring Tool,Machine Translation,2
Authoring Tool,Controlled Language,3
business privacy preservation,Organizations,1
business privacy preservation,Synchronization,1
business privacy preservation,Privacy,1
business privacy preservation,analysis,1
business privacy preservation,Standards organizations,1
business privacy preservation,Behavioral correctness verification,1
business privacy preservation,privacy,1
business privacy preservation,discrete event systems,1
business privacy preservation,task synchronization pattern.,1
business privacy preservation,Petri nets,1
business privacy preservation,Task analysis,1
business privacy preservation,cross-organizational workflow,1
Measurement,FAIR Principles,1
Measurement,Benchmark testing,1
Measurement,ontologies,1
Measurement,Patent Retrieval,1
Measurement,Machine learning,1
Measurement,FAIR ontologies,1
Measurement,Semantics,2
Measurement,Vocabulary,1
Measurement,Semantic,2
Measurement,"FAccT (Fairness, Accountability, Transparency)",1
Measurement,OWL,1
Measurement,Benchmark,1
Measurement,analysis,1
Measurement,Hospitals,1
Measurement,Data Governance,1
Measurement,Decompounding,1
Measurement,Image retrieval,1
Measurement,Metadata,1
Measurement,content analysis,1
Measurement,learning,1
Measurement,data,1
Measurement,Experimentation,1
Measurement,Principles,1
Measurement,Accountability,1
Measurement,Support vector machines,1
Measurement,Ontologies,1
Measurement,Cities and towns,1
Visual lifelog,Information visualization,1
Visual lifelog,Visual lifelogging,1
Visual lifelog,Non-negative matrix factorization,1
Visual lifelog,lifelogging,1
Visual lifelog,visualization,1
Visual lifelog,"Human
computer interaction",1
Visual lifelog,Concept semantics,1
Visual lifelog,Concept detection,1
Visual lifelog,lifelog,2
Story-driven software development,Software,1
Story-driven software development,Storycrafting,1
Story-driven software development,Agile,1
Story-driven software development,Software development process,1
Story-driven software development,Software development,1
Story-driven software development,Agile software development,1
multiscale analysis,received total wideband power,1
multiscale analysis,uplink,1
multiscale analysis,maximum overlap discrete wavelet transform,1
multiscale analysis,time series,1
multiscale analysis,multivariate time series,1
multiscale analysis,analysis,1
multiscale analysis,3G,1
multiscale analysis,"non-stationary time
series",1
Episodic context,Lifelog,1
Episodic context,context,1
Episodic context,Memory,1
Episodic context,Refinding,1
Episodic context,Case study,1
Student-retention,VLE,1
Student-retention,Data-mining,1
Student-retention,Learner,1
Student-retention,mining,1
Student-retention,Learning analytics,1
Source Code Plagiarism Detection,Search,1
Source Code Plagiarism Detection,Field Search,1
Proactive Search,Evaluation Metric,1
Proactive Search,Evaluation,1
Proactive Search,Search,1
Proactive Search,Context,1
Proactive Search,Contextual Recommendation,1
participation rate visualisation,Telecollaboration,1
participation rate visualisation,language learning,1
participation rate visualisation,learning,1
participation rate visualisation,data,1
participation rate visualisation,self-review,1
participation rate visualisation,visualisation,1
participation rate visualisation,data analytics,1
accelrometer,SenseCam,1
Gaelic football,football,1
Gaelic football,mitochondrial enzyme activity,1
Gaelic football,maximal oxygen uptake,1
Gaelic football,running,1
Query expansion,Word embeddings,1
Query expansion,relevance feedback,1
Query expansion,relevance,1
Query expansion,Sentence retrieval,1
Query expansion,Query,1
Query expansion,Pseudo relevance feedback,1
Query expansion,feedback,1
Learning Analytics,Computer science education,1
Learning Analytics,Computer Science,1
Learning Analytics,Prediction,1
Learning Analytics,Computer Science Education,1
Learning Analytics,Analytics,2
Learning Analytics,Machine Learning,1
Shape descriptors,Salient keypoints,1
Shape descriptors,Image matching,1
Shape descriptors,Sketch-based retrieval,1
ACL tear,Deep Learning,1
ACL tear,Magnetic Resonance Imaging,1
ACL tear,ACL,1
ACL tear,knee injury,1
ACL tear,MRI,1
privacy-by-design,privacy,1
privacy-by-design,data,1
privacy-by-design,test collection,1
privacy-by-design,personal data,1
video search,video searching,1
video search,memory,1
video search,video,3
video search,Human memory,1
video search,search,3
video search,query-byimage-example video,1
video search,Image/video search,1
video search,multimedia,1
video search,Computer vision,1
video search,video retrieval,1
Hindi,Translation,1
Hindi,transliteration,1
Hindi,Information Retrieval,1
Hindi,Summarization,1
Hindi,English,1
Hindi,Fusion,1
Hindi,Search,1
Hindi,Data Fusion,1
Hindi,Cross Language News Search,1
Hindi,Hindi Information Retrieval,1
Hindi,"Pseudo
Relevance Feedback",1
Hindi,Query,1
Hindi,Query Summarization,1
Hindi,Query Translation,1
Logic in Computer Science,Computer Science,1
Survey,"CMM, Metric",1
Survey,Translation,1
Survey,Data Valu,1
Survey,Translation Quality,1
Survey,RDB,1
Survey,Automated Assessment,1
Survey,"Survey, Human Assessment",1
Survey,Assessment Methods,1
Survey,Information Systems,1
Wikipedia,Automatic anchor selection,1
Wikipedia,relevance feedback,1
Wikipedia,relevance,1
Wikipedia,Information Retrieval,1
Wikipedia,clustering,1
Wikipedia,Query Expansion,1
Wikipedia,user profile,1
Wikipedia,Cross-lingual Link Discovery,1
Wikipedia,Query,1
Wikipedia,Pseudorelevance feedback,1
Wikipedia,Entity,1
Wikipedia,feedback,1
Electroencephalography,BCI,1
Electroencephalography,interface,1
Electroencephalography,Brain-computer interface,1
Electroencephalography,Brain-computer Interface,1
Electroencephalography,RSVP,1
Image Annotation,Annotation,1
Image Annotation,Landmark Recognition,1
Image Annotation,cognition,1
Image Annotation,Tag Relevance,1
syntactic dependencies,MT,1
syntactic dependencies,SMT,1
syntactic dependencies,memory,1
syntactic dependencies,phrase-based SMT,1
syntactic dependencies,learning,1
syntactic dependencies,memory-based learning,1
Language resources,copyright,1
Language resources,ethics,1
Hyper-parameter selection,Deep learning,1
Hyper-parameter selection,learning,1
Time Series,Traffic Scenes,1
Time Series,LSTM,2
Time Series,F/X,1
Time Series,time series,1
Time Series,Motifs,1
Time Series,Time Series Prediction,1
Time Series,Noise,1
Time Series,Prediction,2
Time Series,"Diversity, Synthetic time series",1
Time Series,Time Series Analysis,1
Time Series,Gene Regulatory Networks (GRNs),1
Time Series,ARIMA,1
Time Series,Wavelets,1
Time Series,Multiple Path Prediction,1
Time Series,Time Series modelsl,1
Time Series,Time series,1
Time Series,Forecasting,1
data fusion,sensor network,1
data fusion,estuarine,1
data fusion,concept detection,1
data fusion,multi-modal sensing,1
data fusion,prediction and modelling,1
data fusion,LF-model,1
data fusion,Video,1
data fusion,Representation uncertainty,1
data fusion,glottal source,1
data fusion,Hyperlinking,1
data fusion,monitoring,1
data fusion,"multi-modal sensing, sensor networks",1
data fusion,modelling,1
data fusion,Concept-based representation,1
data fusion,data,4
data fusion,search,1
data fusion,salinity,1
data fusion,Video retrieval,1
data fusion,multimedia,1
data fusion,sensor networks,1
data fusion,semantic concepts,1
data fusion,multimedia search,1
data fusion,Environmental monitoring,1
Simulated Users,Evaluation,1
Simulated Users,Faceted Search,1
Simulated Users,Dataset,1
Simulated Users,Search,1
Simulated Users,Evaluation Framework,1
Simulated Users,Personalisation,1
Simulated Users,Type-based Facets,1
Simulated Users,Dataset Collection,1
Web Data,Analytics,1
Web Data,Data Analytics,1
Web Data,Data Warehousing,1
Web Data,Data Mining,1
Web Data,ETL,1
event decay,lifelogging,1
event decay,SenseCam,1
event decay,lifelog,1
event decay,personal life semantics,1
Cubes,Smart City,2
Cubes,Data Streams,1
Cubes,XML Analytics,1
Cubes,Data Cubes,1
Cubes,Analytics,1
Cubes,Data Warehousing,1
Cubes,XML,1
Cubes,OLAP,1
Neural Post-editing,Automatic Post-editing,1
Neural Post-editing,State-of-the-art in Automatic Post-editing,1
Neural Post-editing,editing,1
Neural Post-editing,translation,1
Neural Post-editing,"Neural machine
translation",1
Pervasive computing Identity,Wearables Sousveillance,1
Pervasive computing Identity,Surveillance,1
Pervasive computing Identity,technology,1
Pervasive computing Identity,Ethics,1
Pervasive computing Identity,Information communication technology,1
VLE,Data-mining,1
VLE,Learner,1
VLE,mining,1
VLE,Learning analytics,1
Phrase-based statistical machine translation,Pairwise ranking,1
Phrase-based statistical machine translation,Neural machine translation,1
Phrase-based statistical machine translation,machine translation,1
Phrase-based statistical machine translation,Literature translation,1
Phrase-based statistical machine translation,translation,1
Phrase-based statistical machine translation,statistical machine translation,1
EMG,sign language,1
Periodicity,sensors,1
Periodicity,Signal Processing,1
Periodicity,Health,1
Periodicity,Wearable sensors,1
Word embeddings,relevance feedback,1
Word embeddings,relevance,1
Word embeddings,Sentence retrieval,1
Word embeddings,Query,1
Word embeddings,Pseudo relevance feedback,1
Word embeddings,feedback,1
Telecollaboration,language learning,1
Telecollaboration,learning,1
Telecollaboration,data,1
Telecollaboration,self-review,1
Telecollaboration,visualisation,1
Telecollaboration,data analytics,1
Russian,neural machine translation,1
Russian,machine translation,1
Russian,Farsi,1
Russian,morphologically complex word,1
Russian,translation,1
Russian,Turkish,1
Russian,word,1
Russian,German,1
Touchscreen Browser,Human Computer Interaction,1
Touchscreen Browser,Lifelog,1
Touchscreen Browser,Group Sharing,1
Touchscreen Browser,Multimedia,1
Touchscreen Browser,Multimedia Systems,1
Touchscreen Browser,Lifelogging,1
Cellular Automata,Monte Carlo,1
Cellular Automata,Drug Dissolution,1
Cellular Automata,"Modelling, Hybrid models",1
Cellular Automata,Spatio-temporal model,1
Cellular Automata,Microspheres,1
Cellular Automata,Simulation,1
Cellular Automata,Modelling,1
Cellular Automata,Discrete Simulation,1
Cellular Automata,HPC,1
Environmental Monitoring,Monitoring,1
NTCIR-12,Algorithms,1
NTCIR-12,spoken queries,1
NTCIR-12,spoken term detection,1
NTCIR-12,spoken content retrieval,1
